Player,Current  Cap Hit,Current  Salary,Contract  Length,Current  Cap %,Age,Height,Weight,Pos,Shoots,UFA Year,Contract Type,Signing Status,Expiry Status,Start Yr,Expiry Yr,Agent
Pavel Dorofeyev,"$825,000","$825,000",1,1%,23,73in,194lbs,LW,L,2028,Standard,RFA,RFA +arb,2023,2023-24,Rick Komarow
Tuukka Tieksola,"$823,333","$845,000",3,1%,22,71in,174lbs,RW,R,2028,Entry Level,No Signing Status,RFA,2021,2023-24,Ian Pulver
Michael Teply,"$820,000","$775,000",3,1%,22,75in,187lbs,LW,R,2028,Entry Level,No Signing Status,RFA,2021,2023-24,No Agent
Albert Johansson,"$820,000","$775,000",3,1%,23,72in,185lbs,D,L,2028,Entry Level,No Signing Status,RFA,2021,2023-24,No Agent
Gage Goncalves,"$820,000","$775,000",3,1%,23,72in,181lbs,C,L,2028,Entry Level,No Signing Status,RFA,2021,2023-24,Allain Roy
Jordan Spence,"$820,000","$775,000",3,1%,23,70in,181lbs,D,R,2028,Entry Level,No Signing Status,RFA,2021,2023-24,Peter MacTavish
Mason Millman,"$818,333","$775,000",3,1%,22,73in,176lbs,D,L,2029,Entry Level,No Signing Status,RFA,2021,2023-24,Joseph Resnick
Milos Kelemen,"$817,500","$830,000",2,1%,24,74in,209lbs,LW,L,2027,Entry Level,No Signing Status,RFA +arb,2022,2023-24,J.P. Barry
Nikita Alexandrov,"$816,667","$832,500",3,1%,23,73in,176lbs,C,L,2028,Entry Level,No Signing Status,RFA,2021,2023-24,Patrick Morris
Liam Kirk,"$813,333","$805,000",3,1%,24,73in,183lbs,LW,L,2027,Entry Level,No Signing Status,RFA,2021,2023-24,Daniel Milstein
Maxence Guenette,"$813,333","$830,000",3,1%,22,75in,196lbs,D,R,2028,Entry Level,No Signing Status,RFA,2021,2023-24,Dom Deblois
Cole Reinhardt,"$813,333","$830,000",3,1%,24,73in,207lbs,LW,L,2027,Entry Level,No Signing Status,RFA +arb,2021,2023-24,Scott Norton
Patrick Giles,"$812,500","$825,000",2,1%,24,76in,203lbs,RW,R,2027,Entry Level,No Signing Status,RFA +arb,2022,2023-24,Shawn Hunwick
Mikhail Abramov,"$809,444","$775,000",3,1%,23,71in,170lbs,C,L,2028,Entry Level,No Signing Status,RFA,2021,2023-24,Daniel Milstein
James Hamblin,"$807,500","$820,000",2,1%,24,69in,176lbs,LW,L,2026,Entry Level,No Signing Status,RFA +arb,2022,2023-24,Rick Valette
Wyatt Bongiovanni,"$802,500","$815,000",2,1%,24,72in,194lbs,C,L,2027,Entry Level,No Signing Status,RFA +arb,2022,2023-24,Scott Bartlett
Mike Hardman,"$800,000","$850,000",2,1%,25,74in,205lbs,C,L,2026,Standard,RFA,UFA-Group6,2022,2023-24,Jerry Buckley
Mackenzie Entwistle,"$800,000","$850,000",2,1%,24,75in,205lbs,RW,R,2027,Standard,RFA,RFA +arb,2022,2023-24,Paul Capizzano
Oskar Steen,"$800,000","$800,000",2,1%,26,70in,194lbs,C,R,2025,Standard,RFA +arb,UFA-Group6,2022,2023-24,Joakim Persson
Reese Johnson,"$800,000","$850,000",2,1%,25,73in,192lbs,C,R,2026,Standard,RFA +arb,RFA +arb,2022,2023-24,Michael O'Rafferty
Connor Dewar,"$800,000","$850,000",2,1%,24,70in,183lbs,C,L,2026,Standard,RFA,RFA +arb,2022,2023-24,Tobin Wright
Otto Koivula,"$800,000","$850,000",2,1%,25,77in,225lbs,LW,L,2026,Standard,RFA +arb,UFA-Group6,2022,2023-24,Mark Gandler & Todd Diamond
Robin Salo,"$800,000","$850,000",2,1%,25,73in,187lbs,D,L,2026,Standard,RFA +arb,UFA-Group6,2022,2023-24,Lewis Gross
Yegor Chinakhov,"$800,000","$800,000",1,1%,23,73in,190lbs,C,L,2028,Standard,RFA,RFA +arb,2023,2023-24,Shumi Babaev
Kyle MacLean,"$800,000","$800,000",1,1%,24,73in,190lbs,C,L,2026,Entry Level,No Signing Status,RFA +arb,2023,2023-24,No Agent
Joey Anderson,"$800,000","$800,000",1,1%,25,72in,207lbs,RW,R,2025,Standard,RFA +arb,RFA +arb,2023,2023-24,Jay Grossman
Callan Foote,"$800,000","$800,000",1,1%,25,76in,225lbs,D,R,2026,Standard,UFA no QO,RFA +arb,2023,2023-24,Kurt Overhardt
Matthew Robertson,"$797,500","$800,000",3,1%,23,76in,201lbs,D,L,2028,Entry Level,No Signing Status,RFA,2021,2023-24,J.P. Barry
Nicholas Robertson,"$796,667","$775,000",3,1%,22,70in,183lbs,LW,L,2029,Entry Level,No Signing Status,RFA,2021,2023-24,Pat Brisson
Luke Henman,"$791,667","$815,000",3,0.9%,23,72in,168lbs,C,L,2027,Entry Level,No Signing Status,RFA +arb,2021,2023-24,Chad Levitt
Griffin Mendel,"$790,000","$790,000",1,0.9%,25,78in,220lbs,D,L,2026,Standard,No Signing Status,RFA +arb,2023,2023-24,J.P. Barry
Vladislav Kolyachonok,"$789,167","$775,000",3,0.9%,22,73in,194lbs,D,L,2028,Entry Level,No Signing Status,RFA,2021,2023-24,Daniel Milstein
Nathan Legare,"$789,167","$775,000",3,0.9%,23,72in,205lbs,RW,R,2028,Entry Level,No Signing Status,RFA,2021,2023-24,Mathieu Curadeau
Dillon Hamaliuk,"$789,167","$775,000",3,0.9%,23,76in,201lbs,LW,L,2028,Entry Level,No Signing Status,RFA,2021,2023-24,Jeff Helperl
Artemi Kniazev,"$789,167","$775,000",3,0.9%,23,72in,181lbs,D,L,2028,Entry Level,No Signing Status,RFA,2021,2023-24,Daniel Milstein
Egor Afanasyev,"$789,167","$775,000",3,0.9%,23,76in,212lbs,LW,L,2028,Entry Level,No Signing Status,RFA,2021,2023-24,Daniel Milstein
Kaedan Korczak,"$789,167","$775,000",3,0.9%,23,76in,201lbs,D,R,2028,Entry Level,No Signing Status,RFA,2021,2023-24,Rick Valette
Nikita Okhotyuk,"$789,167","$775,000",3,0.9%,23,73in,194lbs,D,L,2028,Entry Level,No Signing Status,RFA,2021,2023-24,Daniel Milstein
Wyatt Newpower,"$787,500","$787,500",1,0.9%,26,75in,207lbs,D,R,2025,Standard,RFA +arb,UFA-Group6,2023,2023-24,No Agent
Jared McIsaac,"$787,500","$787,500",1,0.9%,24,73in,192lbs,D,L,2027,Standard,RFA,RFA +arb,2023,2023-24,Pat Brisson
Wade Allison,"$785,000","$820,000",2,0.9%,26,74in,205lbs,RW,R,2025,Standard,RFA +arb,UFA-Group6,2022,2023-24,Thomas Lynn
Marcus Kallionkieli,"$784,722","$750,000",3,0.9%,23,74in,194lbs,LW,L,2028,Entry Level,No Signing Status,RFA,2021,2023-24,Jay Grossman
Kristian Reichel,"$775,000","$775,000",2,0.9%,25,72in,187lbs,C,R,2025,Standard,RFA +arb,UFA-Group6,2022,2023-24,No Agent
David Gustafsson,"$775,000","$775,000",2,0.9%,24,74in,196lbs,C,L,2027,Standard,RFA,RFA +arb,2022,2023-24,Craig Oster
Brett Leason,"$775,000","$800,000",2,0.9%,24,77in,218lbs,RW,R,2026,Standard,RFA,RFA +arb,2022,2023-24,J.P. Barry
Ethen Frank,"$775,000","$775,000",1,0.9%,26,71in,185lbs,C,R,2025,Standard,No Signing Status,RFA +arb,2023,2023-24,Matt Federico
Alexander Nylander,"$775,000","$775,000",1,0.9%,26,73in,192lbs,C,R,2025,Standard,RFA +arb,RFA +arb,2023,2023-24,Lewis Gross
Mathias Laferriere,"$775,000","$775,000",1,0.9%,23,74in,181lbs,C,R,2027,Standard,RFA,RFA +arb,2023,2023-24,Philippe Lecavalier
Yegor Zamula,"$775,000","$775,000",1,0.9%,24,75in,176lbs,D,L,2027,Standard,RFA,RFA +arb,2023,2023-24,Shumi Babaev
Nathan Clurman,"$775,000","$775,000",1,0.9%,25,74in,205lbs,D,R,2025,Standard,RFA +arb,UFA-Group6,2023,2023-24,Matt Federico
Jake Christiansen,"$775,000","$775,000",1,0.9%,24,72in,185lbs,D,L,2027,Standard,RFA +arb,RFA +arb,2023,2023-24,No Agent
Wyatt Aamodt,"$775,000","$775,000",1,0.9%,26,72in,201lbs,D,L,2025,Standard,RFA +arb,RFA +arb,2023,2023-24,Ian Pulver
Cole Koepke,"$775,000","$775,000",1,0.9%,25,73in,196lbs,LW,L,2025,Standard,RFA +arb,UFA-Group6,2023,2023-24,Daniel Plante
Joshua Dunne,"$775,000","$775,000",1,0.9%,25,76in,209lbs,C,L,2026,Standard,RFA +arb,UFA-Group6,2023,2023-24,Todd Reynolds
Cam Dineen,"$775,000","$775,000",1,0.9%,25,71in,187lbs,D,L,2025,Standard,UFA-Group6,UFA-Group6,2023,2023-24,Michael Curran
Fredrik Karlstrom,"$775,000","$775,000",1,0.9%,26,74in,196lbs,C,L,2025,Standard,UFA-Group6,UFA-Group6,2023,2023-24,Markus Lehto
