Player,Team,Current  Cap Hit,Current  Salary,Contract  Length,Current  Cap %,UFA Year,Contract Type,Expiry Status,Expiry Yr,Agent
Adam Ginning,PHI,"$883,750","$925,000",2.0,1.1%,2027.0,Entry Level,RFA +arb,2023-24,Patrik Aronsson
Nils Lundkvist,DAL,"$925,000","$925,000",3.0,1.1%,2028.0,Entry Level,RFA +arb,2023-24,Claude Lemieux
Calen Addison,S.J,"$825,000","$825,000",1.0,1%,2027.0,Standard,RFA +arb,2023-24,Craig Oster
Jan Jenik,ARI,"$775,000","$775,000",1.0,0.9%,2028.0,Standard,RFA +arb,2023-24,Allan Walsh
Michael Kesselring,ARI,"$925,000","$925,000",3.0,1.1%,2027.0,Entry Level,RFA +arb,2023-24,Matt Keator
Kirill Marchenko,CBJ,"$925,000","$925,000",2.0,1.1%,2028.0,Entry Level,RFA +arb,2023-24,Daniel Milstein
Ilya Lyubushkin,TOR,"$2,750,000","$2,750,000",2.0,3.3%,2021.0,Standard,UFA,2023-24,Craig Oster
Connor Dewar,TOR,"$800,000","$850,000",2.0,1%,2026.0,Standard,RFA +arb,2023-24,Tobin Wright
Declan Chisholm,WPG,"$775,000","$775,000",1.0,0.9%,2027.0,Standard,RFA +arb,2023-24,Richard Evans
Jonatan Berggren,DET,"$925,000","$925,000",3.0,1.1%,2028.0,Entry Level,RFA +arb,2023-24,Scott Bartlett
David Gustafsson,WPG,"$775,000","$775,000",2.0,0.9%,2027.0,Standard,RFA +arb,2023-24,Craig Oster
Linus Karlsson,VAN,"$883,750","$925,000",2.0,1.1%,2027.0,Entry Level,RFA +arb,2023-24,No Agent
Cole Koepke,T.B,"$775,000","$775,000",1.0,0.9%,2025.0,Standard,UFA-Group6,2023-24,Daniel Plante
Cole Koepke,T.B,"$775,000","$775,000",1.0,0.9%,2025.0,Standard,UFA-Group6,2023-24,Daniel Plante
Spencer Stastney,NSH,"$925,000","$925,000",2.0,1.1%,2027.0,Entry Level,RFA +arb,2023-24,Pete Rutili
Scott Perunovich,STL,"$775,000","$775,000",1.0,0.9%,2026.0,Standard,UFA-Group6,2023-24,Ian Pulver
Scott Perunovich,STL,"$775,000","$775,000",1.0,0.9%,2026.0,Standard,UFA-Group6,2023-24,Ian Pulver
Angus Crookshank,OTT,"$838,333","$855,000",3.0,1%,2027.0,Entry Level,RFA +arb,2023-24,Ross Gurney
Hugh McGing,STL,"$775,000","$775,000",1.0,0.9%,2026.0,Standard,UFA-Group6,2023-24,Richard Evans
Hugh McGing,STL,"$775,000","$775,000",1.0,0.9%,2026.0,Standard,UFA-Group6,2023-24,Richard Evans
John Leonard,ARI,"$775,000","$775,000",1.0,0.9%,2026.0,Standard,UFA-Group6,2023-24,Matt Keator
John Leonard,ARI,"$775,000","$775,000",1.0,0.9%,2026.0,Standard,UFA-Group6,2023-24,Matt Keator
Reese Johnson,CHI,"$800,000","$850,000",2.0,1%,2026.0,Standard,RFA +arb,2023-24,Michael O'Rafferty
Jake Christiansen,CBJ,"$775,000","$775,000",1.0,0.9%,2027.0,Standard,RFA +arb,2023-24,No Agent
Kyle MacLean,NYI,"$800,000","$800,000",1.0,1%,2026.0,Entry Level,RFA +arb,2023-24,No Agent
Samuel Fagemo,NSH,"$775,000","$775,000",1.0,0.9%,2027.0,Standard,RFA +arb,2023-24,Craig Oster
Joe Snively,WSH,"$800,000","$850,000",2.0,1%,2023.0,Standard,UFA,2023-24,Pete Rutili
Blake Lizotte,L.A,"$1,675,000","$1,675,000",2.0,2%,2025.0,Standard,RFA +arb,2023-24,Daniel Plante
