Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
Zack Kassian,EDM,R,58,662.31666666667,4,13,10,3,17,51.52,55,7.27,6.37,98,80,62,37,5,5,51,17,13,3,1,10,22,13,154,47,6,3,4,42.86
Dmitry Kulikov,MIN,D,80,1284.85,7,17,11,6,24,34.78,69,10.14,4.43,161,107,48,9,4,13,37,17,16,1,0,14,29,16,97,124,80,0,0,-
Nick Leddy,"DET, STL",D,75,1436.15,3,15,6,9,18,32.14,62,4.84,2.47,118,90,29,5,1,5,20,10,10,0,0,5,30,27,34,51,61,0,0,-
Chris Kreider,NYR,L,81,1156.6833333333,23,16,9,7,39,61.90,181,12.71,19.24,303,242,201,108,18,24,20,10,10,0,0,6,39,19,127,39,26,63,62,50.40
John Moore,BOS,D,7,102.95,0,0,0,0,0,0.00,6,0.00,0.23,14,9,4,0,0,0,4,2,2,0,0,1,2,2,9,9,8,0,0,-
Brayden McNabb,VGK,D,69,1173.2666666667,3,14,4,10,17,30.91,83,3.61,3.9,193,131,46,8,5,13,38,16,14,2,0,10,27,35,141,148,111,0,0,-
Reilly Smith,VGK,R,56,795.05,11,16,9,7,27,67.50,111,9.91,11.97,195,153,129,55,7,16,4,2,2,0,0,7,35,25,45,58,18,1,2,33.33
Tomas Tatar,N.J,L,76,983.95,13,12,6,6,25,65.79,116,11.21,14.33,213,169,136,64,14,12,22,11,11,0,0,16,18,25,72,71,18,14,26,35.00
Tyson Barrie,EDM,D,73,1145.5333333333,4,15,8,7,19,33.33,113,3.54,4.17,227,151,46,4,3,12,18,9,9,0,0,5,37,11,27,92,63,0,0,-
Dmitry Orlov,WSH,D,76,1460.8166666667,10,21,13,8,31,38.27,116,8.62,4.8,219,159,62,11,5,13,42,21,21,0,0,17,38,36,116,61,85,0,0,-
Brian Dumoulin,PIT,D,76,1466.4833333333,3,15,4,11,18,22.50,82,3.66,4.09,175,126,40,9,0,9,20,10,10,0,0,7,41,30,78,174,114,0,0,-
Richard Panik,NYI,R,4,46.7,0,0,0,0,0,-,4,0.00,0.52,9,7,7,5,0,1,0,0,0,0,0,0,1,0,9,0,2,1,0,100.00
Mattias Ekholm,NSH,D,76,1414.6833333333,6,20,9,11,26,33.77,123,4.88,9.23,268,183,83,19,3,16,36,18,18,0,0,9,48,26,66,95,57,0,0,-
Marcus Foligno,MIN,L,74,948.3,18,17,14,3,35,58.33,86,20.93,11.38,144,119,101,58,6,11,108,30,18,10,2,22,23,22,227,80,27,7,6,53.85
Craig Smith,BOS,C,74,942.53333333333,16,16,11,5,32,71.11,162,9.88,13.7,273,216,149,68,13,23,22,11,11,0,0,13,29,20,95,92,26,4,8,33.33
Chris Wideman,MTL,D,64,784.68333333333,4,11,6,5,15,51.72,57,7.02,1.85,109,75,26,3,4,3,48,16,14,0,2,7,54,10,41,94,36,0,0,-
Casey Cizikas,NYI,C,74,873.18333333333,9,6,4,2,15,57.69,78,11.54,8.85,130,113,87,53,7,10,46,23,23,0,0,16,29,25,136,91,32,450,329,57.77
David Savard,MTL,D,62,1106.0,3,13,4,9,16,35.56,61,4.92,4.18,120,81,39,18,0,13,34,17,17,0,0,9,55,7,121,78,90,0,0,-
Nicolas Deslauriers,"ANA, MIN",L,81,817.41666666667,7,5,3,2,12,63.16,87,8.05,9.41,153,119,86,48,5,13,109,27,12,13,2,21,10,6,260,51,41,1,3,25.00
Cody Eakin,BUF,C,69,846.13333333333,3,6,1,5,9,40.91,64,4.69,4.9,107,85,56,30,5,5,20,9,9,0,0,8,19,19,33,32,26,420,326,56.30
Kevin Connauton,"FLA, PHI",D,39,490.05,1,2,1,1,3,13.64,30,3.33,1.34,67,39,21,6,1,3,4,2,2,0,0,1,15,6,73,61,27,0,0,-
Ben Chiarot,"FLA, MTL",D,74,1387.4833333333,7,15,10,5,22,37.29,127,5.51,5.21,243,160,78,15,6,19,44,22,22,0,0,6,57,17,137,101,104,0,0,-
Erik Haula,BOS,L,78,1039.65,15,24,14,10,39,72.22,124,12.10,12.0,186,160,114,57,8,6,41,18,17,1,0,11,18,20,127,65,29,392,348,52.97
Anders Lee,NYI,"C, L",76,1078.65,19,14,7,7,33,54.10,123,15.45,17.36,213,177,158,92,7,18,32,16,16,0,0,14,22,16,91,62,30,46,56,45.10
Nick Jensen,WSH,D,76,1273.1666666667,5,16,7,9,21,29.58,84,5.95,4.0,200,137,53,10,0,4,21,9,8,1,0,20,36,21,114,190,65,0,0,-
Nic Dowd,WSH,C,64,782.43333333333,9,13,11,2,22,62.86,83,10.84,8.05,124,103,84,34,1,10,38,19,19,0,0,14,11,22,135,113,40,436,354,55.19
Justin Dowling,VAN,C,22,193.93333333333,2,2,2,0,4,80.00,16,12.50,2.02,26,21,12,8,1,2,2,1,1,0,0,1,1,4,10,19,9,16,14,53.33
Brenden Dillon,WPG,D,79,1339.65,3,17,5,12,20,30.30,78,3.85,3.31,195,122,45,3,2,11,67,26,21,5,0,13,38,14,193,81,82,0,0,-
Andrew Agozzino,OTT,L,1,6.8666666666667,0,0,0,0,0,-,1,0.00,0.03,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,2,33.33
Radko Gudas,FLA,D,77,1221.15,2,13,7,6,15,21.13,94,2.13,3.66,214,137,48,6,5,10,105,38,30,7,1,27,54,22,329,133,95,0,0,-
Matt Irwin,WSH,D,17,204.9,1,3,0,3,4,33.33,29,3.45,0.73,49,36,11,1,3,2,6,3,3,0,0,3,7,2,35,30,19,0,0,-
Christopher Tanev,CGY,D,82,1412.0333333333,6,22,11,11,28,33.33,80,7.50,3.21,172,121,40,4,2,13,20,10,10,0,0,9,48,23,47,198,98,0,0,-
Mats Zuccarello,MIN,"C, R",70,1076.25,17,34,23,11,51,66.23,115,14.78,8.35,197,146,106,35,7,5,22,11,11,0,0,19,32,47,35,39,29,18,26,40.91
Calle Jarnkrok,"CGY, SEA",C,66,853.16666666667,10,14,4,10,24,63.16,87,11.49,9.19,147,123,85,31,3,11,4,2,2,0,0,10,11,24,36,68,14,180,165,52.17
Justin Holl,TOR,D,69,1214.2166666667,2,18,6,12,20,31.75,63,3.17,3.44,127,89,46,11,1,5,41,19,18,1,0,7,50,14,120,199,74,0,0,-
Jason Zucker,PIT,L,41,543.25,6,9,5,4,15,60.00,86,6.98,6.36,122,105,69,32,3,7,15,6,5,1,0,7,20,14,63,55,18,3,9,25.00
Tyler Toffoli,"CGY, MTL","C, R",74,944.43333333333,10,20,13,7,30,71.43,144,6.94,13.98,249,192,122,50,8,10,6,3,3,0,0,11,29,21,77,43,21,15,9,62.50
Johan Larsson,"ARI, WSH",L,43,584.83333333333,5,13,4,9,18,64.29,39,12.82,4.46,76,58,47,17,5,4,21,9,8,1,0,6,12,12,67,67,16,164,189,46.46
Greg McKegg,NYR,C,43,413.48333333333,2,2,1,1,4,57.14,24,8.33,2.76,37,30,24,14,2,2,6,3,3,0,0,3,13,12,49,42,16,69,79,46.62
Evgeny Kuznetsov,WSH,C,79,1217.3333333333,13,33,19,14,46,64.79,136,9.56,13.11,238,198,135,60,5,10,38,15,14,0,1,20,38,42,38,42,19,431,569,43.10
Charlie Coyle,BOS,C,82,1131.25,13,21,13,8,34,61.82,105,12.38,12.31,168,148,100,46,5,20,28,10,9,0,1,13,35,30,78,67,31,469,464,50.27
Patrik Nemeth,NYR,D,63,943.55,2,5,4,1,7,21.21,52,3.85,2.45,113,78,25,6,4,2,26,13,13,0,0,4,17,9,101,141,77,0,0,-
Jon Merrill,MIN,D,69,1041.4666666667,4,16,7,9,20,33.90,57,7.02,2.26,116,81,29,2,4,5,22,11,11,0,0,3,17,6,44,135,76,0,0,-
Tyler Pitlick,"CGY, MTL",C,39,402.5,1,4,2,2,5,50.00,33,3.03,3.3,73,50,42,13,1,6,6,3,3,0,0,7,9,11,69,46,19,4,6,40.00
Justin Faulk,STL,D,76,1504.2833333333,15,25,7,18,40,38.46,155,9.68,8.88,293,204,95,19,10,13,41,15,13,1,1,7,32,31,140,70,76,0,0,-
Brock Nelson,NYI,C,72,1057.55,25,19,13,6,44,75.86,125,20.00,14.0,207,156,146,66,10,14,18,9,9,0,0,16,30,46,28,65,40,426,425,50.06
Nick Bjugstad,MIN,C,57,572.4,6,6,2,4,12,54.55,80,7.50,8.28,128,105,88,46,8,12,20,10,10,0,0,7,13,18,98,50,11,139,113,55.16
Derek Forbort,BOS,D,76,1134.6,4,9,2,7,13,27.08,60,6.67,1.77,128,86,23,3,4,4,46,16,13,2,1,13,27,14,108,130,60,0,0,-
Kevin Hayes,PHI,"C, R",48,685.78333333333,8,18,10,8,26,76.47,98,8.16,7.42,162,125,73,25,9,7,10,5,5,0,0,12,17,28,35,20,12,206,279,42.47
Cam Fowler,ANA,D,76,1470.7833333333,3,21,8,13,24,35.29,89,3.37,5.1,211,121,74,12,2,12,12,6,6,0,0,3,39,23,35,83,80,0,0,-
