Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
Lucas Raymond,DET,L,82,1.8333333333333,0,0,0,0,0,-,1,0.00,0.12,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Marco Rossi,MIN,C,2,0.28333333333333,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Jake Neighbours,STL,L,9,4.4666666666667,0,0,0,0,0,-,0,-,0.06,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Seth Jarvis,CAR,C,68,0.63333333333333,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Alexis Lafrenière,NYR,L,79,3.6166666666667,0,0,0,0,0,-,0,-,0.06,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.00
Dawson Mercer,N.J,C,82,25.25,1,1,1,0,2,100.00,1,100.00,0.05,1,1,1,0,0,0,2,1,1,0,0,1,1,1,0,1,2,1,5,16.67
Justin Barron,"COL, MTL",D,7,6.1666666666667,0,0,0,0,0,-,1,0.00,0.05,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-
Anton Lundell,FLA,C,65,153.86666666667,1,3,2,1,4,133.33,11,9.09,1.33,19,15,13,5,2,0,2,1,1,0,0,2,6,20,5,4,10,23,53,30.26
Tim Stützle,OTT,L,79,11.35,1,0,0,0,1,100.00,2,50.00,0.34,4,4,3,3,0,0,0,0,0,0,0,1,0,1,0,1,0,5,2,71.43
Quinton Byfield,L.A,C,40,2.6166666666667,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,33.33
Alexander Holtz,N.J,R,9,0.033333333333333,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Jamie Drysdale,ANA,D,81,3.1666666666667,0,0,0,0,0,-,0,-,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
